# 웨딩 A — 번호	슬러그	파일	표시w	표시h	생성w	생성h
w116	wedding-a	gallery-47.jpg	660	924	990	1386
w117	wedding-a	gallery-48.jpg	660	924	990	1386
w118	wedding-a	gallery-49.jpg	660	924	990	1386
w119	wedding-a	gallery-50.jpg	660	924	990	1386
w120	wedding-a	gallery-51.jpg	660	924	990	1386
w121	wedding-a	gallery-52.jpg	660	924	990	1386
w122	wedding-a	gallery-53.jpg	660	924	990	1386
w123	wedding-a	gallery-54.jpg	660	924	990	1386
w124	wedding-a	gallery-55.jpg	660	924	990	1386
w125	wedding-a	gallery-56.jpg	660	924	990	1386
w126	wedding-a	gallery-57.jpg	660	924	990	1386
w127	wedding-a	gallery-58.jpg	660	924	990	1386
w128	wedding-a	gallery-59.jpg	660	924	990	1386
w129	wedding-a	gallery-60.jpg	660	924	990	1386
w130	wedding-a	gallery-61.jpg	660	924	990	1386
w131	wedding-a	gallery-62.jpg	660	924	990	1386
w132	wedding-a	gallery-63.jpg	660	924	990	1386
w133	wedding-a	package-1.jpg	516	592	774	888
w134	wedding-a	package-2.jpg	516	592	774	888
w135	wedding-a	package-3.jpg	516	592	774	888
w136	wedding-a	detail-inquiry.jpg	1920	998	1920	998
w137	wedding-a	blog-top.jpg	820	690	1230	1035
w138	wedding-a	featured-1.jpg	580	794	870	1191
w139	wedding-a	featured-2.jpg	580	794	870	1191
w140	wedding-a	post-1.jpg	1000	620	1500	930
w141	wedding-a	post-2.jpg	1000	620	1500	930
w142	wedding-a	post-3.jpg	1000	620	1500	930
w143	wedding-a	post-4.jpg	1000	620	1500	930
w144	wedding-a	post-5.jpg	1000	620	1500	930
w145	wedding-a	post-6.jpg	1000	620	1500	930
