# 집담 estate-f — 번호	슬러그	파일	표시w	표시h	생성w	생성h
1	estate-f	hero.jpg	1440	360	1728	432
2	estate-f	sl-1.jpg	1080	704	1296	844
3	estate-f	sl-2.jpg	1080	704	1296	844
4	estate-f	sl-3.jpg	1080	704	1296	844
5	estate-f	sl-4.jpg	1080	704	1296	844
6	estate-f	sl-5.jpg	1080	704	1296	844
7	estate-f	sl-6.jpg	1080	704	1296	844
8	estate-f	sl-7.jpg	1080	704	1296	844
