# 기업 D 영상 — 번호	파일	사진
v1	hero.mp4	j1
v2	kv-thumb-1.mp4	j2
v3	kv-thumb-2.mp4	j3
v4	org-main.mp4	j4
v5	org-thumb-1.mp4	j5
v6	org-thumb-2.mp4	j6
v7	org-thumb-3.mp4	j7
v8	org-thumb-4.mp4	j8
v9	org-thumb-5.mp4	j9
v10	org-thumb-6.mp4	j10
v11	org-thumb-7.mp4	j11
v12	lineup-bg.mp4	j12
v13	about-vision-bg.mp4	j48
v14	about-identity.mp4	j49
v15	ci-visual.mp4	j55
v16	biz-ph-bg.mp4	j59
v17	biz-ph-main.mp4	j60
v18	biz-field-bg.mp4	j80
