# 기업 C 영상 — 번호	슬러그	넣을 파일	원본 규격	원본 길이	멈춘 사진	쓰는 쪽
v1a~v1f	corporate-h	hero.mp4 (6장면 4초씩 이어붙임)	1920x1080	24.1s	h1 hero.jpg	index
v2	corporate-h	mat.mp4 (위아래 잘라 1920x900)	1920x900	6.0s	h5 mat.jpg	index
v3	corporate-h	glob.mp4 (위아래 잘라 1920x900)	1920x900	26.7s	h6 glob.jpg	index
v4	corporate-h	sv-company.mp4 (가운데 4:1)	4320x1080	8.0s	h20 sv-company.jpg	about vision history ci network newsroom newsroom-view
v5	corporate-h	sv-solution.mp4 (가운데 4:1)	4320x1080	8.6s	h21 sv-solution.jpg	solution
v6	corporate-h	sv-cylindrical.mp4 (가운데 4:1)	4320x1080	8.6s	h22 sv-cylindrical.jpg	cylindrical
v7	corporate-h	sv-material.mp4 (가운데 4:1)	3264x816	11.9s	h23 sv-material.jpg	material
v8	corporate-h	sv-career.mp4 (가운데 4:1)	4320x1080	12.0s	h24 sv-career.jpg	talent recruit
